ʃʌparaj	butterfly
jʌzmʌɣ	to write
jʌpmʌɣ	to close
qabamʌɣ	to close
xʌlamʌɣ	to want
qəlmʌɣ	to do
qʊrqmʌɣ	to fear
qʊrqatmʌɣ	to frighten
jɪɣlamʌɣ	to cry
kulmʌɣ	to laugh
hajrʌn qʌlmʌɣ	to become confused
hajrʌn bulmʌɣ	to become confused
jʌɣmʌɣ	to rain / snow
winamʌɣ	to play
tuʃmʌɣ	to fall / come down
pas	down
itʃmʌɣ	to drink
jʌtmʌɣ	to sleep
gapərmʌɣ	to talk
gaplamʌɣ	to talk
bʊzak	little goat
tʌnamʌɣ	to know
tʌnɛlmʌɣ	to be known
ʃaɣʌl	wolf
tʃɛɣmʌɣ	to go out
tʃɛɣarmʌɣ	to put out / to take off clothes
kɛrmʌɣ	to go in, to reach an age
kɛrdɛrmʌɣ	to put in
kort qəlmʌɣ	to swallow
temɛrtʃɛ	metalworker
turpʌɣ	dust
jalɣʌn	lie
paxta	cotton
tʃajnamʌɣ	to chew
najza	bow (&amp; arrow)
rama	flock
samʌn	straw
xɛʃt	brick
puflamʌɣ	to blow
kimʌɣ	to wear
ʌftʌba	aftab
sɪlʌbtʃɛn	basin for ewer
qarn	stomach
bʌʃ	head
arɛɣ	jui
ʌɣɛr	heavy
naj	reed
lʌj	mud
pɛʃɛrmʌɣ	to cook
jɪqɛtmʌɣ	to topple
jɪqɛlmʌɣ	to fall down
jʌ(ɣ)mər	rain
qʌr	snow
uruʃ	war
ʌt	name, horse
zun	zone
ʃuntʃa	enough
istamʌɣ	to want
alma	apple
mʌlta	orange
kela	banana
katʃʌlu	potato
pijʌz	onion
zardʒʊma	carrot
qʊj	sheep
qɛr-ga	where
jɛr	husband
jirkaj	man
xʌtʊn	woman
wʊgəl	boy
qɛz	girl
jena	again
tɛʃ	tooth, dream
temər	metal
kʊp	much
iʃtʌn	pants
kʊlaj	clothing / shirt
juz	face
jeŋ(g)ɪl	light (weight)
bɪlmʌɣ	to understand
tʊʃmʌɣ	to understand
rɪʃxanli qəlmʌɣ	to trick
jirtɛlmʌɣ	to be torn
jirtmʌɣ	to tear
bukmʌɣ	to jump
bʌsmʌɣ	to step on / walk on, to press down
dʒaɣal	gravel
bɪldɪŋ	building
wuz	[reflexive]
jɛtɛʃmʌɣ	to arrive / reach
bʌrmʌɣ	to come
tʌxtamʌɣ	to stop
jeʃtmʌɣ	to listen
mɛnmʌɣ	to mount (horse, car)
ʌɣ(ə)rmʌɣ	to hurt
ɛnfɛdʒʌr	explosion
zɛlzɛla	earthquake
juŋg	fur
qɛmɛlamʌɣ	to shake
hɛqal(d)amʌɣ	to hiccup
suramʌɣ	to ask
tepmʌɣ	to kick
taʃxara	outside
wʊrʊʃmʌɣ	to fight
tajʌɣ	staff
lawha	sign
hajdamʌɣ	to drive (car, bike, animals)
jetɛrmʌɣ	to lose (something)
gʊm qəlmʌɣ / bulmʌɣ	to lose (something)
tʃɪtaj	little
wʊtmʌɣ	to pass
wintʃʌɣ	toy
qartʃʌɣ	toy
titopit qəlmʌɣ	to scatter
ʌxtarmʌɣ	to search
tʌpmʌɣ	to find
qʊtlɛ bʊsən	congratulations!
mʊbarak bʊsən	congratulations!
mʊraj bʊsən	congratulations!
dam	in front
ɛldajn	in front
taqib qəlmʌɣ	to follow
qʌlɛn	rug
tʌqmʌɣ	to place jewlery or tie a tie
tʊqamʌɣ	to tie (also a rug)
qars	women's veil
qazʌn	pot
tabʌɣ	dish
kɪʃgɛna	small
jʊqʌr	above
kɪsa	pocket
qɛzgɪna	little girl
uʃlamʌɣ	to hold on
qɛʃ qɛrmʌɣ	to call
zaxmɛ	wound
aka	address to older person
uka	address to younger person
tawʊɣ	chicken
tʌjfa	tribe
qabila	tribe
pʌdʃʌli	monarchy
qʊʃmʌɣ	to stir, to gather
qʊʃɛlmʌɣ	to be stirred, to be gathered
gʊldʊzli qəlmʌɣ	to embroider
bʊɣdʌj	wheat
dʒʊja	garden bed
tʌk	grapevine
pʌja	leg (of a structure)
qalam qəlmʌɣ	to prune
jekmʌɣ	to plant
pik	shade-structure
kuza	piggy bank (also pitcher)
ˈdaxɛl	moneybox
tʌktʃa	shelf embedded in wall
sʌjawʌn	shade-structure
rusi	tree that doesn't give fruit
tarnaw	gutter on a house
tarpʌl	tarpaulin
deʃ (ʌntan)	(satellite) dish
didʒitʌl	(satellite) dish
sɛmɛt	concrete
kʊnkrit	concrete
tʌŋkar	tank
zaxira	tank
qʊduɣ	well (water)
tʊrpʌɣ	soil
piknik	gas tank
kulaŋg	pickaxe
bel	shovel
ajntʃʌdar	corrugated metal
qɛp	funnel
tʊp	innertube (of a tire)
malʌka	small window
tarʌzɛ	scale (tool)
tarʌzɛ-nɛ palas-ɛ	pan of the scale
kʌgɛl	wattle (waddle?)
ɣaltaj	wheelbarrow
bujra	reed mat
ˈqamɛʃ	reed
sɛm	wire
jup	rope, string, thread
julduz	star
sadʒda qəlmʌɣ	to worship/venerate
fʌl	active
saqlamʌɣ	to watch over, to save (something for someone)
qujbarmʌɣ	to release
bʌʃqa [or] bʌʃɣa	other
qʌltimʌɣ	to touch
edʌm bulmʌɣ	to be hung (i.e., execution)
jʌd qəlmʌɣ	to remember
xʊʃa	stalk of grain
tabir qəlmʌɣ	to interpret
xazanadʌr	banker/steward
ɣala	seed [or] egg
dʒʌm	bowl
qʊtʃʌɣ ʌlmʌɣ	to embrace
jʌtlamʌɣ	to memorize, recollect
jʌt qəlmʌɣ	to memorize, recollect
surtmʌɣ	to wipe/apply cream
is	smell [or] memory
ʌj	month [or] moon
ajlantɛrmʌɣ	to turn (trans.)
peʃband	smock
keʃ	late (a person or a time)
akt qəlmʌɣ	to act
tɛqmʌɣ	to plug in
kal	bald
tʊɣɛlmʌɣ	to be born
pʊla	time
mʌʃinʌlʌt	machinery
pʊrzadʒʌt	tool
qɛraqam	what kind (?)
neraqam	what kind (?)
dʒahil	remote place
tasma	engine belt
qʊmʌr winamʌɣ	to gamble
tʃebara	great-grandchild
dʒɛnʌza (wʊqamʌɣ)	burial service
qareh	old
kʊmmʌɣ	to bury
qʌri	mullah
ʌjat	verse of the Qur'an
ʌjʌt	verses of the Qur'an
tʌhʌrat qəlmʌɣ	ceremonial washing
manaj	chin
tʌbut	funeral bier
kʊrpatʃa	toshak
tʊʃaj	toshak
qabrkan	gravedigger
qʌzikʌn	gravedigger
qaratmʌɣ	to make look (toward)
tɛrmʌɣ	(1) to stack, (2) to pick fruit
mawlawi	mullah
xatɛm	prayer service
dʒanat	heaven/paradise
dʊzax	hell
dʒahanam	hell
tərɛlmʌɣ	to come to life
jʌtgan	fallen asleep (dead person)
sawʌb	religious merit
wuləm	death
qazija	incident
hʌdɛsa	accident
gʊnʌjɛ kabira	big sin
gʊnʌjɛ saɣira	small sin
ketərmʌɣ	to bring
dajk	loudspeaker
sʌz	song
kesmʌɣ	to cut
dap	tambourine
mast	lively
tutmʌɣ	to hold on
sʌz o sʊrut	sound of a party
nasijat	encouragement
dʊl	drum
surnaj	flute
tʃʌlmʌɣ	to play an instrument
ajirmʌɣ	to separate (trans.)
asnʌt	certificate
qawʌla	property title
zamʌnat	loan security
tʃaga	sand
qawlamʌɣ	to chase
uʃ-ga kelmʌɣ	to wake up
timʌɣ	to hit/run into/touch
ʊʃpɛlʌq qəlmʌɣ	to whistle
kʌb	plate
jeltmʌɣ	to win a game
takar qəlmʌɣ	to collide
sepmʌɣ	to sprinkle/scatter
tʃɪptɛrmʌɣ	to throw
terlamʌɣ	to sweat
nʌla	complaint (about pain)
ʃɛkʌjat	complaint (about, e.g., work)
qʌqmʌɣ	to dust off, to shake something
surmʌɣ	to push
andal	steering wheel
jeŋg	sleeve
jebarmʌɣ	to send
kaʃmakaʃ	fighting
tawhid	monotheism
tʃaqɛrmʌɣ	to invite
qʊrakaʃli	to draw lots
qʊra	lot (e.g., in drawing lots)
jetɛʃtɛrmʌɣ	to deliver
tanafʊs qəlmʌɣ	to breathe
dʒal	net
ʃɛkʌrtʃɛ	hunter
qɛrqmʌɣ	to cut
jaka	alone
ɛtɛfʌq	incident (as in Dari), also unity
ikalantʃɛ lʊɣat	disparaging/impolite term (lit. second word)
lʌf wurmʌɣ	to boast
kʊrɛlmʌɣ	to be seen
bʌj bɛrmʌɣ	to lose a race
bara	goat-kid
wʊdʒaj	calf
nar	male
mʌda	female
kura	donkey-colt
tajlʌq	camel-calf
teba	camel
inamʌɣ	to annoy, attack
qajtmʌɣ	to leave
futsʌl	football field
beʃi tuj	feast for a toddler
kamɛramajnli qəlmʌɣ	to be a cameraman
alɣʌntʃaj	crib
alqa	necklace
juzi	ring
tajp	radio / cassette player
tʃapaj qəlmʌɣ	to clap
tʃapaj tʃʌlmʌɣ	to clap
tʊlmʌɣ	to fill (intrans.), also to sprout, flower
tʊldarmʌɣ	to fill (trans.)
neʃa qəlmʌɣ	to influence (?)
tʌbliɣ qəlmʌɣ	to preach/promote/evangelize
tawiz	Qur'anic charm
tʊmʌr	Qur'anic charm
dʒʌhɛl	ignorant
nʌdʌn	ignorant
bʌla	child (less than about 8 years old)
sʊzlamʌɣ	to talk
sʊz [or] sʊzlam	sentence
rawʌdʒlantɛrmʌɣ	to develop a custom (only used in the infinitive?)
ʊqətutʃɛ	teacher
sawija	level (abstract)
jaraʃa	amount (abstract; used with money or knowledge)
ʊqutʃɛ	student (all levels)
wiɣʌnmʌɣ	to get up (from bed)
sʊŋg	after (lit.)
ʌjla	household
hamda	also
daftar	notebook [or] office
ʃʊgʊn [or] ʃʊkun	today
dɛr	to be (present tense, uninflected)
tʃɪzmʌɣ	to draw
kerak [or] keraj	necessary (adj.)
asramʌɣ	to look after, to protect
tɪlki [or] tʊlki	fox
hɛkʌja	story
tʃɛrʌjli	pretty
sɛnfdʌʃ	classmate
ʌjri-ʌjri	taking turns (adv.)
bulmʌɣ	to cut, separate
ʌqʃamʌɣ	to be like
bɛrʌr	a little, a few times
ʊjlamʌɣ	to think, to reflect
ʌqɛbat	result, end situation
sɪnaʃ [or] sinaʃ [or] sinaw	test, exam
hajt	Eid
tʊɣrɛ	correctly
turli [or] turli-turli [or] tʊrlitʃa	various
bulut	cloud
bʊri	carnivorous fox-like animal
arpa	animal feed
xel	kind, type, group/flock
jʌrdam	help
dʒʊdʒa	chick
dʌn	seed, chicken feed ([dʌna])
tʃumtʃʊq	kind of small bird
qalderɣʌtʃ	kind of medium-sized bird
sɪtʃɣʌn	mouse
jirtalab	every morning
ketʃalab	every evening
damlamʌɣ	to steep tea
tʃʊmɛrmʌɣ	to submerge
tʃʊmɛlmʌɣ	to swim, be submerged
xɛrman	wheat stack
jantʃmʌɣ	to thresh
jantʃɛlmʌɣ	to be threshed
haq-e-da [or] haq-e-ga	about
qɪsqa	a little
qʊzɛ	lamb
dala	desert plain
jam-jaʃil	verdant
paʃa	flea
kʊpajmʌɣ	to increase, to swarm
dɛqʌntʃɛlik	farming
zawq	desire, taste (e.g., in clothes)
ʃawq	desire, wish
etmʌɣ	to do (more formal than [qəlmʌɣ]
hʊrmat etmʌɣ	to show respect
ʊrmʌn	jungle
ʃarʃara	flowing water, sound of flowing water
ʌqmʌɣ	to flow
ɣʊra	small fruit eaten unripe
ʌtalarsʊzi	wise saying of the past
ʌz-ʌz	bit by bit
tʌmtʃɛ	a drip
tʌmmʌɣ	to drip
jeɣɛlmʌɣ	to be gathered
ʊtʃɛraʃmʌɣ	to visit with a person ([bɛlan])
mazʌr-ɛ saxi	Mazar-e Sharif
qʊrmʌɣ	to build
qʌʃ	eyebrow
ara	span of time ([-dɛ ara-sɛ ga])
tʊʃʊntɛrmʌɣ	to explain
sʌɣalmʌɣ	to get better
jasamʌɣ	to make, to spread naan dough
xatʌt	handwriting
nazm	method
kiʃ	person, individual
ke	on (time preposition)
beritʃɛ [or] berikʌn	giver
dʒʊda	much
qɛzɛqarli	interesting
barmʌq	finger
tɛrnʌq [or] tɛnʌq	fingernail
qapʌɣ	lid
ʊlka	homecountry
gʊllamʌɣ	to blossom (also to sprout)
raŋg-ma-raŋg	every color
tʊrlitʊman	every kind, every shape
lablabu	sugar beet
bʌmja	okra
kʊkɛt	greens
ɛmʌrat	building
un	ten
ʊn	flour
tegɛrmʌn	mill
ʌtʃɪmʌɣ	to rise (of bread)
tandər	tandoor
tʊn	tonne
jʌʊ	enemy
tʃʌrwadʌrtʃɛli	animal husbandry
qomʌɣ	to drive (animals)
qawɣa	well bucket
badʒarmʌɣ	to perform
bartʃa	everything, everyone
jʌz	Summer
kʊz	Fall/Autumn
jʌkɪmli	salubrious
tʊkɛlmʌɣ	to fall
hɛmat	zeal, ardour, jealousy
qɛrʌat qəlmʌɣ	to recite (only for the Qur'an)
dɪklama qəlmʌɣ	to recite (poetry)
qʊlʌq qəlmʌɣ	to pay attention
barʌat	justification, proof of innocence
islatmʌɣ	to remind
haʃar	volunteer work group
bʌrzʌ, rɛzʌ	voluntary
maqʌla	saying
belbʌɣ	belt
jigɪt	younger man (less than 40)
ʌzgina	little
dʌjɛm	always
sʌn	number
jaratgan	has created (always perfect?)
qujʌʃ	sky, sun
maxluqʌt	all seen things
jange	new, fresh
tamʌni-dan	from [a sender]
sʊngi	last, final
ʊmat	follower
tawlanmʌɣ	to flutter, turn
ʃʌn	boast
jaʃɛl	green
kʊŋgɛl	heart
susamʌɣ	to be thirsty
sʌɣli(k)	wellness (health)
sʊngra	then
kim	clothing
kɪm	who
sʊrʌq	question
latifa	story, joke
haris	hungry (poor)
qapqʌn	trap (for animals)
ʌwtʃɛ	hunter
jenaqɛ	other (place)
postɪn	fur coat
tikutʃɛ [or] tikikʌn	sewer (one who sews)
mʊfasal	simple, condensed
bʊʃ	empty
berlik	until, as far as
ara-se-da (-ga)	about, amongst, between
buzmʌɣ	to ruin
buzɛlmʌɣ	to be ruined
nafʌq	fighting
kʊklam	Spring
dam ʌlmʌɣ	to take a break
sanamʌɣ	to count
qʊrt	worm
bergalaʃəp	all together
qɪzɪq	interesting
qʌbɛla	midwife
qʌbɛlali	midwifery
taʃqar-(ga/da)	outside
ɪʃqar-(ga/da)	inside
tɪkmʌɣ	to sew
bəlʌk	building (block)
(h)ʌzri ʌlmʌɣ	to take attendance
sʌtʃma	shrapnel, ball bearings
jʌrɛlmʌɣ	to explode
bandaʃ	bandage
ajirɛlmʌɣ	to separate (intrans.)
bajt	title of a work, line of verse
tʃʌɣ	time
tɪlamʌɣ	to want
tʊʃʊnmʌɣ	to understand
ajrəm-ajrəm	one-by-one
tuzi	correct
wi tʌpʃiraɣi	homework
tʌwuʃ	voice, sound
adʌ qəlmʌɣ	to do, to tell, to perform
hɛdʒʌ	sound, pronunciation
qɪzɪqtɛrmʌɣ	to interest someone (in something)
anɪqlab	clearly
pʌband	reliable
asbʌb	items
qarɛndʌʃ	relative (affine or consanguine)
dʒʊnamʌɣ	to go
bʌtmʌɣ	to set (of the sun)
wʊrʊn	place, seat
adlija	justice (e.g., Ministry of Justice)
qʊlʌq sʌlmʌɣ	to listen
tʊplab	gathered together (lit. become large?)
wasfi-da [or] wasfi-ga	about, concerning
tabʌʃɛr	chalk
tʃut	calculator
tʌpʃɛrmʌɣ	to turn in
raŋga	varied colors
gʊzal	beautiful
tʌɣ	mountain
maqtamʌɣ	to promote (something)
sʊtun	pillar
taʔadʌb	pillar
farz qəlmʌɣ	to require
nijat qəlmʌɣ	to intend
rʊza tutmʌɣ	to fast
mahnat	trouble (zahmat)
jaxʃamʌɣ	to be good
tazʌɣrʌt qəlmʌɣ	to campaign
mʊbʌrɛza	struggle
mahkama	place
dʒuld	skin
wʊlkadʌʃ	patriot
martaba	time, occasion
destadʒami	collection, mass
mʊlki	civilian
xajxʌ	good person
sʌranwʌl	prosecutor
bulak-bulak	bit by bit
salʌlʌhɛ wʌlɛhɛ wasalʌm	peace be upon him (for the prophet of Islam)
wilanmʌɣ	to marry ([bɛlan])
wʌfat qəlmʌɣ	to die
razijalʌtʌlʌanhu	honorific for a prophet (the prophet's wife)
sʌdʌt	clan or group of people
rɛhlat qəlmʌɣ	to die (used for prophets, perhaps also for other respected people)
laqab	nickname
teŋdʌʃ	friend
itʃkujar	compassion
jurak	heart
satr	a line of text
tanlamʌɣ	to choose
aɣʌtʃ, jʌɣʌtʃ	tree (also grape vine)
qʊnmʌɣ	to land (of birds)
kek	deer
qunʌq	calm
ajriki [or] ajratɪn	special, specific
ʌltɪn	gold
ʊgit	encouragement, exhoration
pand	encouragement, exhoration
jurt	watan
jɛrmʌɣ	to melt
bɪtmʌɣ	to come to an end
bɪtɛrmʌɣ	to finish (something)
ʌpʌq	white
mardʒʌn	precious thing (in Dari, coral)
ʃɪldɛrmʌɣ	to drip
mɪrɛlmʌɣ	to twinkle
murtʃa	ant
jaraʃmʌɣ	to compete
sajramʌɣ	to chirp
sʌtʃmʌɣ	to shine (of the sun), to sprinkle or shower
ɣʊntʃa	flower bud
qɪzɪltʃa	sour cherry (ʌlubalu)
nʌʃputi	pear
dʒɪgda	sɛndʒɛd
ɣura	sour green fruit
kʊksʊltʌn	sour green fruit
qarʌlu	black cherry
sarɣʌlu	yellow cherry
sarəɣ	yellow
ɛrik	apricot
tʌmʌn	direction
majsa	grass (shorter)
jʌqasi-(ga/da)	next to
pal	garden bed
sɛfa	outdoor sofa (raised earthern platform)
tegragi-(ga/da)	around, surrouding
jɛʃkɛ	goat
jɛnaj	cow
quj	sheep
ʊɣlʌq	goat-kid
ɛflʌs	dirty
hʌwdʒ	handful
jurak-[POSS] kʊjmʌɣ	to become sad
kujmʌɣ	to burn
sɪpɛrmʌɣ	to clean
jɪɣmʌɣ	to gather
jɪɣɛlmʌɣ	to be gathered
sɪpɛradikʌn	cleaner
tajrɛlmʌɣ	to slip
tʃɪqɛndɛ	extra thing, useless thing
jaʃaʃ	living (formal infinitive of [jaʃmʌɣ]?
jetkɛrmʌɣ [or] jetkɪzmʌɣ	to deliver
quwʌnmʌɣ	to boast
jalɣəz	only, just
wʊtlamʌɣ	to graze
wʊsmʌɣ	to grow
wʊsɪmli(k)	growing thing
arzʌntʃɛlik	a year with low expenses
arsalʌn	lion
qaplʌn	tiger
ajɛ	bear
tawʃqʌn	rabbit
jawʌji [or] jʌwu	wild
ʊkiz	yak
qʊtʃqʌr	long-horned goat
sʊrʌɣ	question
tɪnɪq	clear
xɛt	muddy, turbid
ʌldɛ-ga (-da)	close
qʌldɪq	fallen
et	flesh
dʒʌjlamʌɣ	to put in
bʊlʌq	spring (of water)
eŋg	plenty
hɛsʌblanmʌɣ	to be counted
qainamʌɣ	to boil (intrans.)
qainatmʌɣ	to boil (trans.)
jararli	beneficial
jawɣ	close
makʌn	toilet place (?)
hamʌm	hamam (bathing)
jumurtiqa	egg (of a bird)
jerkak	man (jerkaj)
wʊrɣʌtʃɛ	female
wʊzgarmʌɣ	to change into (with -ga)
ken	then
qʌbuɣ	shell (egg, nut)
jʌrmʌɣ	to explode (trans.)
asta-sekin	slowly, slowly
wʊləɣmʌɣ	to get bigger
timɛr	strong
pat	bird's down
par	feather
kutʃ	strength
jʌla	branch
epak	silk
matʌ	fabric
dawʌm etmʌɣ	to continue
tʌla	relationship
pupalak, pupanak	cocoon
ʊrʊɣmʌɣ	to mate
mata	fabric
jemak	food
japrʌɣ	leaf
ɣʊza	round
jaʃɛnmʌɣ	to hide (oneself)
jaʃɛntɛrmʌɣ	to hide (something)
ilgitʃ	spinning wheel
jegarmʌɣ	to spin (thread)
bʊjamʌɣ	to paint, to dye
kul	ash
qʊm	large jar for manufacturing dairy products, butter churn (?)
ʌsmʌɣ	to hang (something)
tʃɛlik	spindle
juqa	narrow, thin (not of people)
jumʃʌq	soft
tʃumʌli	ant
kʊl	pond [6/24/2015: uncertain]
harqantʃa	as much as
tʊpɪnmʌɣ	to try [takes embedded clause with a subjunctive]
ujʌq-bujʌq	this way, that way
suzmʌɣ	to move about
qʊtɛlmʌɣ	to be saved
qʊtɛrmʌɣ	to save (someone)
qunʌq	enthusiasm, friend
mergan	hunter
ʌtmʌɣ	to fire, shoot
wʌq	bullet
tʃʌqmʌɣ	to bite (only for animals)
qaltɛrdamʌɣ	to shiver, tremble
tabib	traditional healer
qatɛɣ	yogurt [or] hard
kʊrʊʃmʌɣ	to visit
ʌldɛnɛ ʌlmʌɣ	to prevent
xatʃir	mule
kemɛ	boat
qentʃɛlik	difficulty (or with [bɛlan])
wʊtʃramʌɣ	to meet, encounter
qʊlaj	easy
qurɛlmʌɣ	to be made
denɪz, deŋgɪz	river
tʃet	unknown, remote, other
tintʃɛlik	peace
bɪlɪmdʌn	wise person
bɪlɪm	learning
asri	new
ʃun-da (-ga)	here
ɛxtɛrʌ	invention
ʊpka	kidney
tʌmar	vein
julʊqmʌɣ	to be afflicted with
mʊbtadʌ	subject (subject to?)
jɪlɪɣmʌɣ	to change
sɪl arɛɣ	very ill
tʃʊrimʌɣ	to rot
masakrʌt	mind-influencing substance (alcohol, tobacco, drugs)
pajt	time
tutun	smoke
tʃunta	box, case
jezmʌɣ	to tear up
bʌl	honey
hajd	smell
sezmʌɣ	to smell
tuzʌɣ	trap
qajta-qajta	over and over
tʌtmʌɣ	to taste, to sample
jʌqɛmli	beneficial, interesting
ʃira	stickiness
mʊsibat	difficulty, affliction
balʌ	difficult
bʌr	all
azʌb	difficulty
qawʊʃtɛrmʌɣ	to be faced with (a situation), to join (hands)
tasdiq qəlmʌɣ	to support, acknowledge
qʊllamʌɣ	to protect, support
qʊwatlamʌɣ	to support, strengthen
bʌjlik	wealthy (of a country)
sarf qəlmʌɣ	to spend
bujruq	command
X-ga kʊra	with respect to
mʊmɛn	faithful Muslim
mʊʔazɛma	holy (used to describe Mecca)
mʊnawara	holy (used to describe Medina)
jʊldʌʃ	friend, companion
ʌʃɛrmʌɣ	to perform, implement
kutʃlamʌɣ	to strengthen
jajramʌɣ	to spread (good or bad)
fɛtna wa fɛsad	corruption
tarqatmʌɣ	to finish, to leave
tʃɪgɛra	surrounding
jʌjmʌɣ	to spread
inatɛlmʌɣ	to try, attempt
wʊrtʌq	friend
wʊtkazmʌɣ	to pass (e.g., on a street)
nemat	blessing
ʊlʊɣ	great
unɪtmʌɣ	to forget
tugatmʌɣ	to finish
kɛlime tajba	profession of faith
bɛnʌ	pillar
barɛk alʌ	great job!
tʃin kuŋgɛl-dan	from the heart (e.g., heartfelt)
dʒawlʌn	happy, beautiful
salqɛn	moderate air temperature
ɛrkɪn	early
awtʃɛ	hunter
sɪzgir	clever, intelligent
jʊlʊqmʌɣ	to be afflicted
mʊbtalʌ bʊlmʌɣ	to be afflicted
jugurmʌɣ	to run
ɣʌjp bʊlmʌɣ	to disappear
enmʌɣ	to come down, get down from
buj-ga	next to, close to (without -de/-ne)
buʃatmʌɣ	to release
qʊtqʌrmʌɣ	to save
qʊwʌnmʌɣ	to rejoice
aldanmʌɣ	to be cheated
aldamʌɣ, aldatmʌɣ	to cheat someone
ahq qəlmʌɣ	to promise
manzara	a pleasant sight
sap-sarɛɣ	bright yellow
ʌzuqa	winter stores
kelidʒak	future
paxʌl	dry fodder
ismʌɣ	to feel
tʃaka	direction, group of people (?)
jutal	cough
jutalmʌɣ	to cough
sʌtʃɪq	hand towel
artmʌɣ	to wipe off
sʊz bermʌɣ	to promise
nɛhʌl	tree
mɛhnat tʃɪkmʌɣ	to take trouble
jaʃnap turmʌɣ	to flourish (people or plants)
bɪŋbɪŋlab	murmuring sound (not always negative)
ser	large
bun-dan bujʌn	after this
ʊmed ʊzɪlmʌɣ	to lose hope
bʌlʌr	roof rafter
gʊmbaz	domed roof
ʊɣlʌq	buzkashi
tantanali	enthusiastic, or traditional
ajnɛqsa	especially, particularly
sajis	horse caretaker
dʒar, dʒur	buzkashi field
qadmʌɣ	to stick something in the ground
taqim	group
hakam	referee
adʌɣ	end
jutmʌɣ	to win (related to [jeltmʌɣ])
manatdʌr	grateful
memʌr	builder
ʌhak	unslaked lime
drezar, trezar	window
bʊjʌq, bʊja	paint
qɪzmʌɣ	to heat (something)
tʃɪdamʌɣ	to be patient, to endure
istagi	wish, desire
